No.	NAME	Me	O%	Psi_i_A	Psi_e_A	MPC10	X4Av	VR1_D/Dt	J_Dz(e)	J_Dz(i)	VE1sign_B(m)	VE2sign_B(m)	SpPosA_B(e)	VE1sign_B(e)	VE2sign_B(e)	VE1sign_B(i)	VE2sign_B(i)	AVS_B(s)	ChiA_B(s)	SpPosA_B(s)	SpMAD_B(s)	SM3_B(s)	SM4_B(s)	SM5_B(s)	SM6_B(s)	ATSC2s	MATS8m	MATS8e	MATS8s	SpMax2_Bh(s)	P_VSA_LogP_2	P_VSA_LogP_4	P_VSA_LogP_5	P_VSA_m_3	P_VSA_v_2	P_VSA_e_5	P_VSA_p_2	P_VSA_ppp_A	Eta_epsi_A	Eta_L_A	Eta_FL_A	SM08_AEA(dm)	SM09_AEA(dm)	SM09_AEA(ri)	SM10_AEA(ri)	Eig14_EA	Eig15_EA	Eig14_EA(ed)	Eig15_EA(ed)	Eig14_EA(bo)	Eig15_EA(bo)	Eig02_EA(dm)	Eig15_EA(dm)	Eig14_EA(ri)	Eig15_EA(ri)	Eig14_AEA(bo)	Eig14_AEA(dm)	Eig15_AEA(dm)	Eig14_AEA(ri)	Eig15_AEA(ri)	PJI3	VE1sign_G	VE1sign_RG	TDB01s	TDB02s	TDB03s	TDB04s	Mor06m	Mor06v	Mor28v	Mor03p	Mor28p	Mor06s	Mor14s	Mor21s	Mor31s	G1u	G3u	G1m	G1v	G1e	G1p	G1i	G3i	G1s	Gu	Gm	R5m	R5m+	R4p	R5p	nCconj	nRCOOR	nROR	nO(C=O)2	nCH2RX	C-015	C-018	C-040	O-059	O-060	SdCH2	SdssC	NdCH2	NdssC	B02[O-O]	B05[O-Cl]	F02[O-O]	F05[O-Cl]	Qmean	Q2	LDI	TPSA(NO)	SAacc	CATS3D_04_AA	Molecule	U	V
1	*****	0.977	0.0	1.889	7.389	3.401	0.045	13.616	2.6427	2.6427	0.117	0.010	1.391	0.117	0.010	0.117	0.010	4.712	0.210	2.010	1.692	5.745	7.128	8.542	9.985	4.805	0.000	0.000	0.000	4.299	0.000	0.000	11.517	0.000	0.000	0.000	0.000	0.000	0.540	0.188	0.308	-2.000	0.000	-6.817	0.000	-2.000	0.000	-6.817	0.000	-3.000	0.000	0.000	0.000	-2.000	0.000	-0.555	-2.000	0.000	-1.000	0.000	0.883	0.000	0.087	3.889	6.428	8.055	10.203	0.547	-0.031	-0.008	-1.359	-0.010	-3.023	-1.732	-0.550	0.583	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.573	0.573	0.070	0.016	0.407	0.226	2	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0.050	0.057	0.056	0.000	0.000	0	Acenaphthalene.mol2	1.33	-0.46
2	*****	0.975	0.0	2.271	7.771	0.000	0.053	7.596	3.0494	3.0494	0.038	0.005	1.359	0.038	0.005	0.038	0.005	4.821	0.211	2.348	1.766	5.731	7.252	8.813	10.403	3.131	0.000	0.000	0.000	4.681	0.000	0.000	3.186	0.000	0.000	0.000	0.000	0.000	0.529	0.164	0.327	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.931	0.216	0.107	4.606	7.202	9.200	12.393	0.286	-0.144	0.097	-0.218	0.083	-4.036	0.436	-1.208	-0.400	0.208	1.000	0.208	0.208	0.208	0.208	0.208	1.000	0.208	0.536	0.351	0.035	0.021	0.238	0.109	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0	0	0	0	0	0	0.066	0.068	0.081	0.000	0.000	0	Acetylene,phenyl	-1.88	0.37
3	*****	0.998	9.1	3.133	8.633	0.000	0.000		3.2951	3.2677	0.294	0.059	1.341	0.294	0.059	0.280	0.056	5.187	0.204	3.165	2.185	6.234	8.144	10.099	12.077	11.990	0.000	0.000	0.000	4.640	15.767	48.340	3.186	25.145	25.145	25.145	25.145	25.145	0.552	0.190	0.264	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.888	0.082	0.352	4.909	7.377	14.051	10.707	0.159	-0.034	-0.033	-0.075	-0.065	-0.873	0.956	-0.935	0.098	0.224	0.621	0.224	0.224	0.296	0.224	0.224	0.621	0.224	0.315	0.315	0.000	0.000	0.247	0.000	3	0	0	0	0	1	0	0	0	0	3.306	0.574	1	1	0	0	0	0	0.081	0.139	0.122	17.070	25.145	0	Acrolein,methyl.mol2	1.73	0.77
4	*****	1.012	12.5	3.500	9.000	0.000	0.000		2.8396	2.8066	0.046	0.011	1.343	0.045	0.011	0.030	0.008	5.516	0.201	3.500	2.327	6.205	8.130	10.091	12.073	11.062	0.000	0.000	0.000	4.654	15.767	48.340	0.000	25.145	25.145	25.145	25.145	25.145	0.596	0.145	0.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.890	0.035	0.176	5.993	9.714	15.225	16.200	-0.109	-0.195	0.005	0.092	-0.018	-3.886	1.092	-0.038	0.103	0.308	1.000	0.308	0.364	0.364	0.308	0.308	1.000	0.308	0.425	0.425	0.000	0.000	0.062	0.000	3	0	0	0	0	1	0	0	0	0	3.111	0.000	1	0	0	0	0	0	0.105	0.140	0.158	17.070	25.145	0	Acrolein.mol2	-2.75	0.59
5	*****	0.970	1.6	1.899	7.399	2.639	0.156		3.0332	3.0535	0.116	0.005	1.250	0.117	0.005	0.121	0.005	3.930	0.267	1.954	1.509	6.621	8.341	10.190	12.114	21.236	0.002	-0.006	-0.013	4.658	76.436	29.850	0.000	25.145	43.156	25.145	43.156	25.145	0.462	0.422	0.069	-0.728	-1.000	-1.384	-1.951	-0.728	-1.000	-1.384	-1.951	-0.754	-1.035	0.000	0.000	-0.730	-1.004	0.350	-0.562	-0.825	0.278	0.007	0.931	0.085	0.186	2.724	4.198	5.002	6.305	2.959	3.264	-0.697	-5.458	-0.881	15.763	3.334	-3.404	4.099	0.157	0.344	0.150	0.150	0.150	0.150	0.150	0.308	0.143	0.215	0.219	0.085	0.008	0.463	0.310	3	0	0	0	0	1	0	1	0	0	3.444	-0.050	1	1	0	0	0	0	0.049	0.344	0.087	29.100	43.156	0	Acrylamide,N-octadecyl.mol2	1.56	0.35
6	*****	1.020	10.0	3.533	9.033	0.000	0.000		3.4143	3.4606	0.197	0.039	1.378	0.198	0.040	0.200	0.040	5.587	0.192	3.533	2.150	6.351	8.228	10.154	12.112	17.462	0.000	0.000	0.000	4.914	48.664	29.850	0.000	25.145	58.042	25.145	58.042	25.145	0.617	0.163	0.291	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.632	0.017	0.206	5.894	13.080	16.981	13.814	-0.119	-0.228	0.012	0.029	-0.001	-5.303	-0.426	0.829	-0.404	0.231	1.000	0.231	0.231	0.231	0.231	0.231	1.000	0.231	0.377	0.393	0.002	0.001	0.162	0.046	3	0	0	0	0	1	0	1	0	0	3.086	-0.481	1	1	0	0	0	0	0.140	0.295	0.300	43.090	58.042	0	Acrylamide.mol2	-1.82	-0.07
7	*****	1.036	17.4	3.292	8.792	0.000	0.057		4.4399	4.3660	0.264	0.022	1.393	0.265	0.022	0.297	0.025	5.494	0.207	3.331	2.370	7.270	9.208	11.181	13.174	64.416	-0.106	-0.095	-0.247	7.434	22.894	32.336	11.000	86.892	92.562	86.892	92.562	92.562	0.659	0.233	0.235	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.674	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.778	0.219	0.139	5.244	10.778	11.712	19.755	0.203	-0.019	-0.067	-0.320	-0.096	-9.158	-0.116	-2.379	1.344	0.181	0.207	0.181	0.181	0.181	0.181	0.181	0.207	0.181	0.206	0.189	0.255	0.048	0.403	0.268	3	1	0	0	0	1	0	1	0	1	3.165	-0.629	1	1	1	0	2	0	0.125	0.858	0.208	72.120	86.892	5	Acrylate,2-nitrobutyl.mol2	-2.39	0.44
8	*****	1.003	9.1	2.542	8.042	0.000	0.049	11.639	2.9919	2.9515	0.025	0.002	1.351	0.025	0.002	0.032	0.003	4.963	0.207	2.610	1.912	6.590	8.374	10.240	12.161	19.091	0.357	0.209	0.215	4.824	15.767	32.336	17.371	36.145	36.145	36.145	36.145	36.145	0.588	0.183	0.296	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.645	0.046	0.308	4.673	8.430	11.710	15.268	0.671	0.161	0.052	-0.812	0.012	-2.587	-1.389	-0.931	-0.075	0.211	0.238	0.183	0.183	0.238	0.183	0.183	0.211	0.183	0.210	0.183	0.214	0.025	0.431	0.327	3	1	0	0	0	1	0	1	0	1	3.621	-0.001	1	2	1	0	1	0	0.100	0.463	0.157	26.300	36.145	0	Acrylate,a-phenyl,methyl.mol2	-2.13	1.20
9	*****	1.003	9.1	2.528	8.028	1.099	0.053	11.649	2.6878	2.6064	0.093	0.008	1.361	0.092	0.008	0.085	0.007	4.933	0.212	2.582	1.929	6.586	8.369	10.235	12.156	17.777	-0.047	0.024	-0.098	4.782	20.359	32.336	14.185	36.145	36.145	36.145	36.145	36.145	0.588	0.186	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.636	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.769	0.081	0.133	4.588	8.638	10.405	12.341	0.425	-0.165	-0.009	-0.426	-0.039	-5.848	-0.484	-0.227	0.745	0.183	0.211	0.183	0.183	0.183	0.183	0.183	0.238	0.183	0.201	0.210	0.143	0.027	0.359	0.238	3	1	0	0	0	1	0	1	0	1	3.298	-0.390	1	1	1	0	1	0	0.100	0.460	0.165	26.300	36.145	0	Acrylate,benzyl.mol2	-2.68	0.28
10	*****	0.998	9.5	2.630	8.130	0.000	0.075		3.4572	3.3301	0.113	0.013	1.313	0.114	0.013	0.135	0.015	4.664	0.232	2.649	1.903	6.415	8.250	10.158	12.108	21.427	0.073	0.147	0.012	4.683	25.428	32.336	11.000	36.145	36.145	36.145	36.145	36.145	0.544	0.297	0.182	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.775	0.159	0.184	3.960	7.050	8.408	11.297	0.152	-0.267	-0.065	-0.404	-0.103	-4.506	0.591	-0.231	1.585	0.215	0.777	0.215	0.185	0.185	0.215	0.215	0.777	0.185	0.314	0.293	0.084	0.024	0.277	0.181	3	1	0	0	0	1	0	1	0	1	3.265	-0.330	1	1	1	0	1	0	0.089	0.433	0.171	26.300	36.145	0	Acrylate,butyl.mol2	-2.22	0.12
